Brand,Product,Shade,Price,Image,Undertone,Skin tone,undertone_norm,skintone_norm,price_numeric,image_exists,hex_in_name,rgb_extracted,hex_extracted,lab_L,lab_a,lab_b,color_source,mst_id,mst_label,mst_hex,mst_confidence,mst_delta_e,mst_score_image,mst_score_undertone,mst_score_skintone,mst_top3,mst_weight_mode
Wardah,Lightening Liquid Foundation 25 Ml,01 Neutral Fair (12N),57000,D:\Kuliah\Semester 8\Capstone\Images\Wardah\01 Neutral Fair (12N).jpg,Neutral,Fair,neutral,fair,57000,TRUE,,"(np.int64(233), np.int64(199), np.int64(175))",#E9C7AF,82.52250049,8.418278818,16.47863297,image,1,Porcelain,#f6ede4,28.7,17.51,10.3,10,63,"[{""mst"": 1, ""label"": ""Porcelain"", ""score_pct"": 28.7}, {""mst"": 2, ""label"": ""Fair"", ""score_pct"": 20.2}, {""mst"": 5, ""label"": ""Medium"", ""score_pct"": 14.6}]",full
Wardah,Lightening Liquid Foundation 25 Ml,02 Neutral Beige (32N),57000,D:\Kuliah\Semester 8\Capstone\Images\Wardah\02 Neutral Beige (32N).jpg,Neutral,Light to medium,neutral,light to medium,57000,TRUE,,"(np.int64(226), np.int64(192), np.int64(156))",#E2C09C,79.76756989,6.910563181,22.66457865,image,5,Medium,#d7bd96,27.7,3.94,53,10,5.3,"[{""mst"": 5, ""label"": ""Medium"", ""score_pct"": 27.7}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 27.2}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 22.2}]",full
Wardah,Lightening Liquid Foundation 25 Ml,03 Warm Beige (32W),57000,D:\Kuliah\Semester 8\Capstone\Images\Wardah\03 Warm Beige (32W).jpg,Warm,Light to medium,warm,light to medium,57000,TRUE,,"(np.int64(217), np.int64(171), np.int64(129))",#D9AB81,73.19711359,11.31461804,28.05146021,image,5,Medium,#d7bd96,25.3,10.38,46.2,13,5.3,"[{""mst"": 5, ""label"": ""Medium"", ""score_pct"": 25.3}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 24.0}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 20.5}]",full
Wardah,Lightening Liquid Foundation 25 Ml,04 Caramel (53W),57000,D:\Kuliah\Semester 8\Capstone\Images\Wardah\04 Caramel (53W).jpg,Warm,Tan,warm,tan,57000,TRUE,,"(np.int64(227), np.int64(157), np.int64(111))",#E39D6F,70.59158378,21.04281971,34.46440522,image,6,Medium Tan,#a07850,35.6,21.09,39,12,44.7,"[{""mst"": 6, ""label"": ""Medium Tan"", ""score_pct"": 35.6}, {""mst"": 7, ""label"": ""Tan"", ""score_pct"": 22.0}, {""mst"": 5, ""label"": ""Medium"", ""score_pct"": 17.7}]",full
Wardah,Lightening Liquid Foundation 25 Ml,05 Warm Ivory (23W),57000,D:\Kuliah\Semester 8\Capstone\Images\Wardah\05 Warm Ivory (23W).jpg,Warm,Light,warm,light,57000,TRUE,,"(np.int64(232), np.int64(182), np.int64(143))",#E8B68F,77.63698033,12.9624131,26.78017426,image,5,Medium,#d7bd96,24.1,10.17,47.8,13,0,"[{""mst"": 5, ""label"": ""Medium"", ""score_pct"": 24.1}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 21.7}, {""mst"": 2, ""label"": ""Fair"", ""score_pct"": 20.0}]",full
Wardah,Lightening Liquid Foundation 25 Ml,06 Neutral Sand (42N),57000,D:\Kuliah\Semester 8\Capstone\Images\Wardah\06 Neutral Sand (42N).jpg,Neutral,Medium,neutral,medium,57000,TRUE,,"(np.int64(213), np.int64(161), np.int64(126))",#D5A17E,70.2773103,14.76550893,25.70116597,image,5,Medium,#d7bd96,35.9,13.86,40.6,10,44.7,"[{""mst"": 5, ""label"": ""Medium"", ""score_pct"": 35.9}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 22.9}, {""mst"": 6, ""label"": ""Medium Tan"", ""score_pct"": 15.5}]",full
Wardah,Wardah Colorfit Matte Foundation,22N Light Ivory,78000,D:\Kuliah\Semester 8\Capstone\Images\Wardah Colorfit\11C Pink Fair.jpg,Neutral,Light,neutral,light,78000,TRUE,,"(np.int64(235), np.int64(198), np.int64(191))",#EBC6BF,82.81437949,11.99742122,8.389507069,image,2,Fair,#f3e7db,28.9,13.76,25.1,10,44.7,"[{""mst"": 2, ""label"": ""Fair"", ""score_pct"": 28.9}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 25.5}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 12.8}]",full
Wardah,Wardah Colorfit Matte Foundation,11C Pink Fair,78000,D:\Kuliah\Semester 8\Capstone\Images\Wardah Colorfit\11C Pink Fair.jpg,Cool,Light,cool,light,78000,TRUE,,"(np.int64(235), np.int64(198), np.int64(191))",#EBC6BF,82.81437949,11.99742122,8.389507069,image,2,Fair,#f3e7db,29.8,13.76,26.5,11.5,44.7,"[{""mst"": 2, ""label"": ""Fair"", ""score_pct"": 29.8}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 25.4}, {""mst"": 1, ""label"": ""Porcelain"", ""score_pct"": 14.2}]",full
Wardah,Wardah Colorfit Matte Foundation,42N Neutral Sand,78000,D:\Kuliah\Semester 8\Capstone\Images\Wardah Colorfit\42N Neutral Sand.jpg,Neutral,Medium,neutral,medium,78000,TRUE,,"(np.int64(239), np.int64(165), np.int64(117))",#EFA575,73.90062972,22.1297739,35.79149498,image,5,Medium,#d7bd96,33.8,22.89,36,10,44.7,"[{""mst"": 5, ""label"": ""Medium"", ""score_pct"": 33.8}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 23.3}, {""mst"": 6, ""label"": ""Medium Tan"", ""score_pct"": 16.7}]",full
Wardah,Wardah Colorfit Matte Foundation,52N Almond,78000,D:\Kuliah\Semester 8\Capstone\Images\Wardah Colorfit\52N Almond.jpg,Neutral,Tan,neutral,tan,78000,TRUE,,"(np.int64(210), np.int64(123), np.int64(77))",#D27B4D,60.2546085,29.70991582,39.29838097,image,6,Medium Tan,#a07850,42.3,23.26,54.8,10,44.7,"[{""mst"": 6, ""label"": ""Medium Tan"", ""score_pct"": 42.3}, {""mst"": 7, ""label"": ""Tan"", ""score_pct"": 26.8}, {""mst"": 5, ""label"": ""Medium"", ""score_pct"": 9.2}]",full
Wardah,Wardah Colorfit Matte Foundation,33W Olive Beige,78000,D:\Kuliah\Semester 8\Capstone\Images\Wardah Colorfit\33W Olive Beige.jpg,Warm,Light to medium,warm,light to medium,78000,TRUE,,"(np.int64(225), np.int64(164), np.int64(121))",#E1A479,72.18985667,17.43360886,31.15607855,image,4,Light Medium,#eadaba,23.1,26.54,11.4,12,44.7,"[{""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 23.1}, {""mst"": 5, ""label"": ""Medium"", ""score_pct"": 20.7}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 20.2}]",full
Wardah,Wardah Colorfit Matte Foundation,43W Golden Sand,78000,D:\Kuliah\Semester 8\Capstone\Images\Wardah Colorfit\43W Golden Sand.jpg,Warm,Medium,warm,medium,78000,TRUE,,"(np.int64(241), np.int64(159), np.int64(109))",#F19F6D,72.63140758,25.42532301,38.43670033,image,5,Medium,#d7bd96,31.3,27.27,29.1,13,44.7,"[{""mst"": 5, ""label"": ""Medium"", ""score_pct"": 31.3}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 22.7}, {""mst"": 6, ""label"": ""Medium Tan"", ""score_pct"": 20.8}]",full
Wardah,Wardah Colorfit Matte Foundation,23W Warm Ivory,78000,D:\Kuliah\Semester 8\Capstone\Images\Wardah Colorfit\23W Warm Ivory.jpg,Warm,Light to medium,warm,light to medium,78000,TRUE,,"(np.int64(242), np.int64(186), np.int64(145))",#F2BA91,79.63820165,14.98398102,28.57825292,image,4,Light Medium,#eadaba,26.4,19.77,18.7,12,44.7,"[{""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 26.4}, {""mst"": 5, ""label"": ""Medium"", ""score_pct"": 24.6}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 22.3}]",full
Wardah,Wardah Colorfit Matte Foundation,32N Neutral Beige,78000,D:\Kuliah\Semester 8\Capstone\Images\Wardah Colorfit\32N Neutral Beige.jpg,Neutral,Light to medium,neutral,light to medium,78000,TRUE,,"(np.int64(225), np.int64(163), np.int64(131))",#E1A383,72.12397498,19.00867608,25.68807972,image,4,Light Medium,#eadaba,23.5,25.41,13,10,44.7,"[{""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 23.5}, {""mst"": 5, ""label"": ""Medium"", ""score_pct"": 21.1}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 20.8}]",full
Luxcrime,Luxcrime Radiant Silk Foundation Spf 50 Pa+++,N00,179000,D:\Kuliah\Semester 8\Capstone\Images\Luxcrime\C01.jpg,Neutral,Light,neutral,light,179000,TRUE,,"(np.int64(234), np.int64(208), np.int64(184))",#EAD0B8,85.03042835,5.353083025,15.2428043,image,3,Light,#f7ead0,26.9,9.61,20.5,10,44.7,"[{""mst"": 3, ""label"": ""Light"", ""score_pct"": 26.9}, {""mst"": 2, ""label"": ""Fair"", ""score_pct"": 25.1}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 18.2}]",full
Luxcrime,Luxcrime Radiant Silk Foundation Spf 50 Pa+++,C01,179000,D:\Kuliah\Semester 8\Capstone\Images\Luxcrime\N00.jpg,Cool,Light,cool,light,179000,TRUE,,"(np.int64(232), np.int64(210), np.int64(186))",#E8D2BA,85.40071634,3.866937646,14.68359539,image,2,Fair,#f3e7db,28.1,10.25,22.6,11.5,44.7,"[{""mst"": 2, ""label"": ""Fair"", ""score_pct"": 28.1}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 27.2}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 15.2}]",full
Luxcrime,Luxcrime Radiant Silk Foundation Spf 50 Pa+++,N01,179000,D:\Kuliah\Semester 8\Capstone\Images\Luxcrime\C01.jpg,Neutral,Light to medium,neutral,light to medium,179000,TRUE,,"(np.int64(234), np.int64(208), np.int64(184))",#EAD0B8,85.03042835,5.353083025,15.2428043,image,4,Light Medium,#eadaba,32,6.06,31.9,10,44.7,"[{""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 32.0}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 26.8}, {""mst"": 5, ""label"": ""Medium"", ""score_pct"": 11.8}]",full
Luxcrime,Luxcrime Radiant Silk Foundation Spf 50 Pa+++,W01,179000,D:\Kuliah\Semester 8\Capstone\Images\Luxcrime\N01.jpg,Warm,Light to medium,warm,light to medium,179000,TRUE,,"(np.int64(229), np.int64(200), np.int64(168))",#E5C8A8,82.26882206,5.429460014,19.78633055,image,4,Light Medium,#eadaba,29.4,7.55,25.2,12,44.7,"[{""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 29.4}, {""mst"": 5, ""label"": ""Medium"", ""score_pct"": 24.9}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 23.3}]",full
Luxcrime,Luxcrime Radiant Silk Foundation Spf 50 Pa+++,N02,179000,D:\Kuliah\Semester 8\Capstone\Images\Luxcrime\W01.jpg,Neutral,Medium,neutral,medium,179000,TRUE,,"(np.int64(224), np.int64(193), np.int64(149))",#E0C195,79.70443851,4.731945427,26.25699477,image,5,Medium,#d7bd96,43.6,3.81,57.7,10,44.7,"[{""mst"": 5, ""label"": ""Medium"", ""score_pct"": 43.6}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 26.6}, {""mst"": 3, ""label"": ""Light"", ""score_pct"": 8.0}]",full
Luxcrime,Luxcrime Radiant Silk Foundation Spf 50 Pa+++,W02,179000,D:\Kuliah\Semester 8\Capstone\Images\Luxcrime\N02.jpg,Warm,Medium,warm,medium,179000,TRUE,,"(np.int64(205), np.int64(178), np.int64(151))",#CDB297,74.22550162,5.594051696,17.40148231,image,5,Medium,#d7bd96,43.2,7.14,55.5,13,44.7,"[{""mst"": 5, ""label"": ""Medium"", ""score_pct"": 43.2}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 25.4}, {""mst"": 6, ""label"": ""Medium Tan"", ""score_pct"": 7.6}]",full
Luxcrime,Luxcrime Radiant Silk Foundation Spf 50 Pa+++,N03,179000,D:\Kuliah\Semester 8\Capstone\Images\Luxcrime\W02.jpg,Neutral,Medium,neutral,medium,179000,TRUE,,"(np.int64(219), np.int64(173), np.int64(111))",#DBAD6F,73.60893179,9.220593026,38.11542168,image,5,Medium,#d7bd96,38.4,16.6,46.1,10,44.7,"[{""mst"": 5, ""label"": ""Medium"", ""score_pct"": 38.4}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 23.9}, {""mst"": 6, ""label"": ""Medium Tan"", ""score_pct"": 13.7}]",full
Omg,Omg Oh My Glam Coverlast Liquid Foundation,10N Porcelain,69500,D:\Kuliah\Semester 8\Capstone\Images\OMG\10N Porcelain.jpg,Neutral,Fair,neutral,fair,69500,TRUE,,"(np.int64(244), np.int64(202), np.int64(178))",#F4CAB2,84.32435296,11.36797616,17.55647422,image,1,Porcelain,#f6ede4,29,18.49,11.1,10,63,"[{""mst"": 1, ""label"": ""Porcelain"", ""score_pct"": 29.0}, {""mst"": 2, ""label"": ""Fair"", ""score_pct"": 20.6}, {""mst"": 4, ""label"": ""Light Medium"", ""score_pct"": 14.1}]",full
